id;breakfast_low;breakfast_high;lunch_low;lunch_high;dinner_low;dinner_high;snack_low;snack_high
1;78393;49361;75711;54548;28242;25403;61376;28208
2;8309;35276;44169;87232;93951;68756;81933;71972
3;8768;33796;91631;38838;38853;36584;73682;6535
4;63181;57118;60247;43260;6278;47912;76907;88345
5;50078;28297;83565;19320;17315;65032;5340;91014
6;78353;53454;67237;59526;46112;2378;8604;14747
7;15450;65438;68428;65498;16673;9243;49578;12140
8;23348;64004;17863;37537;68039;3356;48279;80233
9;28881;21938;86545;27720;87737;90668;95954;45345
10;77295;89865;98726;34299;5103;1080;78136;98665
