id;name;calories_per_unit;image;image_content_type
1;Dynamic Courts Licensed Concrete Shirt;96539;../fake-data/blob/hipster.png;image/png
2;azure Small Steel Car;24750;../fake-data/blob/hipster.png;image/png
3;Customizable New Hampshire 5th generation;51411;../fake-data/blob/hipster.png;image/png
4;Fantastic Practical Cotton Shoes Principal;31328;../fake-data/blob/hipster.png;image/png
5;orange virtual 24/365;81538;../fake-data/blob/hipster.png;image/png
6;Automotive UIC-Franc Unbranded Wooden Gloves;31447;../fake-data/blob/hipster.png;image/png
7;pink port deposit;38330;../fake-data/blob/hipster.png;image/png
8;vortals interface;55263;../fake-data/blob/hipster.png;image/png
9;Kuwaiti Dinar secondary;48640;../fake-data/blob/hipster.png;image/png
10;Indiana Operations Chief;39169;../fake-data/blob/hipster.png;image/png
